image_name,mask_id,title,author,tag,isbn,not_book,not_in_db,segmentation_merged_books,series,section,ocr
20221128_104830_1.jpg,6,Manual de ciencias de la información y documentación , ,002 Man,9788436825275,False,False,False,Ozalid,0 Obres Generals,osé Lopez Yepes anual de Ciencias de la María Rosario Osuna Alartón (Coords. 002 Man mación y Documentación
20221128_104830_1.jpg,11,Pensa : manifest inquietant a favor de la ignorància ,"Orteu, Francesc",1 Ort,9788416673346,False,False,False,,0 Obres Generals,PENSA: MANIFEST INQUIETANT A FAVOR DE LA IGNORÂNCIA-ORTEU 1 Ort
20221128_110646_1.jpg,2,Desembalo mi biblioteca : el arte de coleccionar ,"Benjamin, Walter, 1892-1940",09 Ben,9788497167840,False,False,False,Centellas (Olañeta)   52,0 Obres Generals,9 Ben
20221128_110640_0.jpg,18,El Desajuste del mundo : cuando nuestras civilizaciones se agotan ,"Maalouf, Amin",008 Maa,,False,False,False,Biblioteca de autor (Alianza),0 Obres Generals,Maalouf 008 Maa ndo
20221128_104824_0.jpg,16,Cómo escribir un trabajo de fin de grado : algunas experiencias y consejos prácticos ,"González García, Juana María",029 Gon,9788490770481,False,False,False,,0 Obres Generals,"L M.4GONZALEZ,A LEÓN, M. PEÑALBA COMO ESCRIBIR UN TRABAJO DE FIN DE GRADO 029 Gon"
20221128_110514_1.jpg,33,Memoria ,"Baddeley, Alan",153 Bad,9788420669434,False,False,False,,15 Psicologia,"153 Bad Memoria Alan Baddeley, Michael W. Eysenek y Michael C. Anderson"
20221128_110514_1.jpg,17,Mapas mentales : la guía definitiva para aprender a utilizar la herramienta de pensamiento más efectiva jamás inventada ,"Buzan, Tony",153 Buz,9788417568184,False,False,False,,15 Psicologia,TONY BUZAN 153 Buz MAPAS MENTALES
20221128_110514_1.jpg,35,"Test de inteligencia : una guía completa para evaluar tu coeficiente intelectual, con 200 pruebas repartidas en 10 test ","Cater, Richard",153 Cat,9788466239332,False,False,False,,15 Psicologia,Mensa M 153 Cat TEST DE INTELIGENCIA M Mensa the
20221128_110514_1.jpg,15,Memoria en forma : 100 ideas sencillas y eficaces para prevenir el alzheimer y la pérdida de memoria asociada a la edad ,"Carper, Jean",153 Car,9788479537821,False,False,False,,15 Psicologia,153 Car RPER MEMORIA EN FORMA
20221128_110514_1.jpg,36,"Llenguatge, ment i cervell : una introducció a la psicolingüística i a la neurolingüística ","Coll-Florit, Marta",153 Col,9788490299326,False,False,False,Psicología (Universitat Oberta de Catalunya),15 Psicologia,212 153 Col STUE MENT / CERVELL
20221128_110514_1.jpg,25,Test de lógica : pon a prueba tus capacidades de deducción y pensamiento lógico con más de 200 problemas ,"Dedopulos, Tim",153 Ded,9788466239349,False,False,False,,15 Psicologia,Mensa 153 Ded TEST DE LÓGICA Mensa
20221128_110514_1.jpg,7,Manual práctico de psicotécnicos para oposiciones , ,153 Man,9788492800469,False,False,False,,15 Psicologia,Inteligencia General Atención Razonamiento Verbal Razonamiento Mecánico Manual Práctico de 153 Man Razonamiento Numerico Memoria Psicotécnicos para Oposiciones Razonamiento Espacial Omnibus
20221128_110539_1.jpg,60,Parejas a la carta : las relaciones amorosas en la sociedad posmoderna ,"Villegas Besora, Manuel",173 Vil,9788425439384,False,False,False,,16 -17 Logica Teoria del coneixement. Ètica,Mennal Villanne Dilor Mallo PAREJAS ALA CARTA 173 Vil
20221128_110539_1.jpg,49,Lo que esconde el agujero : el porno en tiempos obscenos ,"Iglesias, Analía",176 Igl,9788490974186,False,False,False,Los Libros de la Catarata   660,16 -17 Logica Teoria del coneixement. Ètica,Analia Iglesias y Martha Zein Lo que esconde el agujero 176 Igl
20221128_110539_1.jpg,30,"Hablemos sobre el amor : amantes, deseo, rupturas, familia, soledad, amistad ","Lunn, Natasha",177.6 Lun,,False,False,False,,16 -17 Logica Teoria del coneixement. Ètica,JON All LEHRER SOBRE EL AMOI 177.6 Leh
