title,author,tag,series,isbn
Enseñar a investigar : libro del alumnado ,"Belmonte Nieto, Manuel",001 Bel,Investigación y recursos,9788427132177
Las Pseudociencias : ¡vaya timo! ,"Bunge, Mario, 1919-2020",001 Bun,¡Vaya timo!   14,9788492422241
Bulos científicos : de la tierra plana al coronavirus ,"López-Borrull, Alexandre",001 Lop,,9788441543072
"La Actitud científica : una defensa de la ciencia frente a la negación, el fraude y la pseudociencia ","MacIntyre, Lee",001 Mac,Colección Teorema. Serie mayor,9788437641317
Guía del universo para escépticos : cómo descubrir las certezas en un mundo repleto de falsedades ,"Novella, Steven",001 Nov,Paidós contextos,9788449336959
El Nacimiento del pensamiento científico : Anaximandro de Mileto ,"Rovelli, Carlo",001 Rov,,9788425440595
Wikipedia de la A a la W ,"Saorín, Tomás",001 Sao,El Profesional de la información (UOC)   8,9788490290125
Sólo se puede tener fe en la duda : pensamiento concentrado para una realidad dispersa ,"Wagensberg, Jorge, 1948-2018",001 Wag,Metatemas   142,9788490665015
Nueva historia universal de la destrucción de libros : de las tablillas sumerias a la era digital ,"Báez, Fernando",002 Bae,Imago mundi (Destino)   190,9788423344123
Barcelona i els llibres : els llibres de Barcelona, ,002 Bar,Els Monogràfics de Barcelona Metròpolis Mediterrània   7, 
Los Libros y la libertad ,"Lledó, Emilio",002 Lle,,9788490065686
Libros : dos mil años de historia ilustrada ,"Lyons, Martyn",002 Lyo,,9788497857369
Manual de ciencias de la información y documentación , ,002 Man,Ozalid,9788436825275
Pequeña historia del libro ,"Martínez de Sousa, José",002 Mar,Biblioteconomía y administración cultural   33,9788497043915
Quemar libros : una historia de la destrucción deliberada del conocimiento ,"Ovenden, Richard",002 Ove,Serie mayor,9788491993032
El Silencio de los libros ,"Steiner, George, 1929-2020",002 Ste,Biblioteca de ensayo (Siruela)   50,9788498414257
El Infinito en un junco : la invención de los libros en el mundo antiguo ,"Vallejo Moreu, Irene",002 Val,Biblioteca de Ensayo. Serie Mayor   105,9788417860790
La Biblia de los códigos secretos ,"Lehning, Hervé",003 Leh,,9788448027391
Caligrafía y lettering fáciles ,"Porte de Sainte-Marie, Marine",003 Por,,9788498746563
"Historia de la criptografía : cifras, códigos y secretos, de la antigua Grecia a la Guerra Fría ","Prieto, Manuel J.",003 Pri,,9788491647379
Iniciación a la caligrafía ,"Winters, Eleanor",003 Win,,9788498745436
Historia mundial de la comunicación ,"Perceval, José María",007 Per,Signo e imagen   164,9788437634180
El Desorden digital : guía para historiadores y humanistas ,"Pons, Anaclet",007 Pon,,9788432316425
La Cultura catalana ,"Aisa, Ferran",008 Ais,Base hispánica   27,9788493916138
La Música del mundo : de las verdades verdaderas a las razones razonables ,"Argüello, Javier",008 Arg,,9788481099416
